대여소명,자치구,lat,long,LCD거치대수,text
신정이펜하우스 1단지아파트 입구 사거리,양천구,37.514278,126.828743,10.0,신정이펜하우스 1단지아파트 입구 사거리 (양천구)<br>거치대 수: 10.0
한사랑교회 앞,양천구,37.514721,126.8592,10.0,한사랑교회 앞 (양천구)<br>거치대 수: 10.0
보아스아파트 앞,양천구,37.524071,126.8386,9.0,보아스아파트 앞 (양천구)<br>거치대 수: 9.0
잣절보도육교 아래,양천구,37.506821,126.844299,10.0,잣절보도육교 아래 (양천구)<br>거치대 수: 10.0
오목로 무중력지대 앞,양천구,37.524551,126.877052,10.0,오목로 무중력지대 앞 (양천구)<br>거치대 수: 10.0
목동11단지 아파트,양천구,37.510658,126.859161,10.0,목동11단지 아파트 (양천구)<br>거치대 수: 10.0
목동청소년수련관,양천구,37.531029,126.875893,30.0,목동청소년수련관 (양천구)<br>거치대 수: 30.0
오목교역 3번출구,양천구,37.524776,126.875481,10.0,오목교역 3번출구 (양천구)<br>거치대 수: 10.0
신목동역 3번출구,양천구,37.54426,126.88325,15.0,신목동역 3번출구 (양천구)<br>거치대 수: 15.0
국회의원회관,영등포구,37.528416,126.913918,20.0,국회의원회관 (영등포구)<br>거치대 수: 20.0
진미파라곤 앞,영등포구,37.531239,126.921333,15.0,진미파라곤 앞 (영등포구)<br>거치대 수: 15.0
국민일보 앞,영등포구,37.528816,126.92453,30.0,국민일보 앞 (영등포구)<br>거치대 수: 30.0
국회의사당역 3번출구 옆,영등포구,37.528057,126.918701,15.0,국회의사당역 3번출구 옆 (영등포구)<br>거치대 수: 15.0
국회의사당역 5번출구 옆,영등포구,37.528164,126.917023,13.0,국회의사당역 5번출구 옆 (영등포구)<br>거치대 수: 13.0
산업은행 앞,영등포구,37.526264,126.920509,20.0,산업은행 앞 (영등포구)<br>거치대 수: 20.0
KBS 앞,영등포구,37.524666,126.918022,35.0,KBS 앞 (영등포구)<br>거치대 수: 35.0
여의나루역 1번출구 앞,영등포구,37.526989,126.932098,40.0,여의나루역 1번출구 앞 (영등포구)<br>거치대 수: 40.0
유진투자증권빌딩 앞,영등포구,37.524612,126.927834,12.0,유진투자증권빌딩 앞 (영등포구)<br>거치대 수: 12.0
IFC몰,영등포구,37.526066,126.925537,22.0,IFC몰 (영등포구)<br>거치대 수: 22.0
여의도역 4번출구 옆,영등포구,37.522228,126.924637,13.0,여의도역 4번출구 옆 (영등포구)<br>거치대 수: 13.0
여의도역 1번출구 옆,영등포구,37.521362,126.923462,35.0,여의도역 1번출구 옆 (영등포구)<br>거치대 수: 35.0
KT앞,영등포구,37.521908,126.918953,15.0,KT앞 (영등포구)<br>거치대 수: 15.0
금융감독원 앞,영등포구,37.523022,126.920837,20.0,금융감독원 앞 (영등포구)<br>거치대 수: 20.0
여의도고교 앞,영등포구,37.524837,126.934906,10.0,여의도고교 앞 (영등포구)<br>거치대 수: 10.0
