,col_1,행정동,세대수,등록인구,등록인구(남),등록인구(여),여성비율,한국인,한국인(남),한국인(여),외국인,외국인(남),외국인(여),외국인비율,세대당인구,65세이상고령자,평균연령,인구밀도 (명/㎢),면적 (㎢),대학교 수,가로등 수,보안등 수,전체 CCTV수(어린이보호 제외),상가 수,일반 유흥 주점,생활방범 CCTV 수,범죄발생수(유동인구기준),범죄발생수(면적기준),강력범죄,절도범죄,폭력범죄,치안기관,유흥업소 수,초등학교 수,"중,고등학교 수",어린이용 CCTV 수,안전비상벨 수,요리 주점,입시·교과학원,기타 CCTV 수,시설물 CCTV 수,쓰레기단속 CCTV 수
53,서구,원대동,3960,7393,3739,3654,0.494251319,7327,3713,3614,66,26,40,0.008927364,1.85,2130,51.9,12322,0.6,0,124,117,141,424,14,134,92.76917282,70.3926097,79,866,1087,2.5,1.8681318681318686,2.0,1.4285714285714286,10.0,3.333333333333333,1.1403508771929822,0.14598540145985403,0.6976744186046513,0.0,0.0
54,남구,소계,76401,143474,68740,74734,0.520888802,141519,67842,73677,1955,898,1057,0.013626162,1.85,35590,48.5,8231,17.43,0,0,0,0,0,0,0,1501.0,1501.0,73,656,772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
55,남구,이천동,5422,11682,5518,6164,0.527649375,11548,5453,6095,134,65,69,0.011470639,2.13,3170,49.2,10717,1.09,0,445,165,61,494,0,59,122.2150494,93.86632243,73,656,772,0.0,0.0,4.0,1.4285714285714286,4.035087719298246,2.2222222222222223,1.0526315789473681,0.6204379562043796,,0.0,0.3225806451612903
56,남구,봉덕1동,5152,8987,4330,4657,0.518192945,8832,4265,4567,155,65,90,0.017247135,1.71,2398,50.4,18341,0.49,0,250,20,57,640,9,49,94.02042879,42.19678715,73,656,772,2.5,0.6593406593406594,0.0,0.0,0.5263157894736843,2.7777777777777777,0.9649122807017543,0.0,,0.0,0.0
57,남구,봉덕2동,5340,12224,5783,6441,0.526914267,12070,5708,6362,154,75,79,0.012598168,2.26,2969,47.3,3995,3.06,0,526,180,60,436,2,55,127.885359,263.5146299,73,656,772,0.0,0.0,0.0,0.0,0.5263157894736843,1.1111111111111112,0.7017543859649121,0.036496350364963515,,0.0,0.0
58,남구,봉덕3동,8219,16168,7694,8474,0.524121722,15944,7587,8357,224,107,117,0.013854527,1.94,4097,48.7,6010,2.69,0,383,146,59,848,19,54,169.1468001,231.6517499,73,656,772,2.5,1.8681318681318686,4.0,5.714285714285714,4.7368421052631575,3.333333333333333,1.5789473684210524,0.6204379562043796,,0.0,0.0
59,남구,대명1동,5746,10994,5365,5629,0.512006549,10803,5262,5541,191,103,88,0.017373113,1.88,2581,48.1,24431,0.45,0,0,78,34,344,4,24,115.0173132,38.75215146,73,656,772,0.0,0.5494505494505495,0.0,0.0,3.1578947368421053,2.2222222222222223,0.7894736842105262,0.14598540145985403,,0.0,0.0
60,남구,대명2동,7017,12115,5735,6380,0.526619893,11983,5670,6313,132,65,67,0.010895584,1.71,2534,45.3,14596,0.83,1,38,78,75,772,1,65,126.74502,71.47619048,73,656,772,0.0,0.10989010989010992,2.0,5.714285714285714,3.508771929824561,2.2222222222222223,0.9649122807017543,0.3284671532846716,,0.0,0.0
61,남구,대명3동,6255,10621,5232,5389,0.507391018,10474,5171,5303,147,61,86,0.013840505,1.67,2897,50.2,11299,0.94,1,272,208,121,952,4,102,111.1150522,80.94893861,73,656,772,2.5,0.6593406593406594,0.0,0.0,2.280701754385965,4.444444444444445,2.3684210526315788,0.14598540145985403,,0.0,0.0
62,남구,대명4동,5813,10627,5131,5496,0.517173238,10560,5112,5448,67,19,48,0.006304696,1.82,2856,49.9,14968,0.71,0,142,38,72,620,12,64,111.1778232,61.14228342,73,656,772,2.5,1.098901098901099,2.0,2.857142857142857,2.982456140350877,5.0,0.7894736842105262,0.07299270072992703,,0.0,0.0
63,남구,대명5동,3515,6423,3054,3369,0.524521252,5962,2808,3154,461,246,215,0.071773315,1.7,1372,46.7,6982,0.92,1,135,218,44,593,11,30,67.19630734,79.22662077,73,656,772,2.5,0.9890109890109892,2.0,1.4285714285714286,2.1052631578947367,1.1111111111111112,1.7543859649122804,0.07299270072992703,,0.0,0.0
64,남구,대명6동,5964,11297,5396,5901,0.522351067,11235,5377,5858,62,19,43,0.005488183,1.88,2342,46.1,7531,1.5,0,7,61,93,565,1,77,118.1872465,129.1738382,73,656,772,2.5,0.10989010989010992,2.0,0.0,2.1052631578947367,0.5555555555555556,0.5263157894736841,0.3284671532846716,,0.0,0.0
65,남구,대명9동,8333,15165,7385,7780,0.513023409,15044,7344,7700,121,41,80,0.007978899,1.81,3454,47.8,4487,3.38,0,896,336,114,780,7,94,158.6535888,291.0717154,73,656,772,2.5,0.8791208791208792,4.0,1.4285714285714286,5.087719298245614,2.7777777777777777,1.9298245614035086,0.21897810218978103,,0.0,0.0
66,남구,대명10동,4972,8850,4178,4672,0.527909605,8799,4164,4635,51,14,37,0.005762712,1.77,2468,50.2,17700,0.5,0,29,21,29,647,18,29,92.58715865,43.05794607,73,656,772,0.0,2.307692307692308,0.0,0.0,1.0526315789473686,1.1111111111111112,1.5789473684210524,0.036496350364963515,,0.0,0.0
67,남구,대명11동,4653,8321,3939,4382,0.526619397,8265,3921,4344,56,18,38,0.00672996,1.78,2452,51.5,9564,0.87,0,48,57,48,606,2,27,87.05285278,74.92082616,73,656,772,0.0,0.3296703296703297,2.0,0.0,2.807017543859649,1.1111111111111112,0.7017543859649121,0.07299270072992703,,0.0,0.0
68,북구,소계,192697,436173,216633,219540,0.503332393,430912,214151,216761,5261,2482,2779,0.012061728,2.24,70487,43.6,4641,93.99,0,0,0,0,0,0,0,3475.0,3475.0,153,1638,1684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
69,북구,고성동,2195,4718,2287,2431,0.515260704,4699,2279,2420,19,8,11,0.00402713,2.14,1108,46.7,8902,0.53,0,270,31,32,463,3,25,37.58841102,19.5951697,153,1638,1684,0.0,0.10989010989010992,0.0,0.0,1.0526315789473686,0.0,2.4561403508771926,0.21897810218978103,,0.6060606060606061,0.9677419354838709
70,북구,칠성동,10318,23141,11021,12120,0.523745733,23005,10975,12030,136,46,90,0.005877015,2.23,3902,42.7,17399,1.33,0,807,33,126,1339,6,88,184.3648621,49.17278434,153,1638,1684,5.0,1.4285714285714288,2.0,4.285714285714286,2.456140350877193,0.0,1.4912280701754383,0.36496350364963503,,2.878787878787879,6.129032258064515
71,북구,침산1동,2008,4116,2231,1885,0.457968902,3960,2104,1856,156,127,29,0.037900875,1.97,1071,51.2,3319,1.24,0,240,181,45,196,0,36,32.79226362,45.84530269,153,1638,1684,2.5,0.0,0.0,1.4285714285714286,1.2280701754385965,0.0,0.0,0.0,,0.7575757575757576,1.2903225806451613
72,북구,침산2동,6900,18425,8865,9560,0.518860244,18364,8843,9521,61,22,39,0.003310719,2.66,2477,40.5,18611,0.99,0,396,10,32,567,1,26,146.7923851,36.60229812,153,1638,1684,0.0,0.0,2.0,0.0,2.807017543859649,0.0,1.2280701754385963,1.2773722627737227,,0.6060606060606061,0.6451612903225806
73,북구,침산3동,7478,19417,9334,10083,0.519287223,19342,9302,10040,75,32,43,0.003862595,2.59,3449,43.9,18147,1.07,0,490,296,97,494,0,29,154.6956712,39.56005958,153,1638,1684,2.5,0.10989010989010992,4.0,2.857142857142857,1.7543859649122808,0.0,0.3508771929824561,1.1313868613138687,,9.545454545454545,1.6129032258064515
74,북구,노원동,5646,11460,6063,5397,0.470942408,11098,5790,5308,362,273,89,0.031588133,1.97,2773,49.7,3709,3.09,0,822,211,91,1095,10,74,91.30207509,114.2435365,153,1638,1684,0.0,2.087912087912088,0.0,0.0,1.2280701754385965,0.5555555555555556,1.5789473684210524,0.036496350364963515,0.2325581395348838,1.3636363636363638,1.6129032258064515
75,북구,산격1동,5136,8855,4387,4468,0.504573687,8784,4359,4425,71,28,43,0.008018069,1.71,2988,54.5,9731,0.91,0,213,312,85,245,0,66,70.54798211,33.64453665,153,1638,1684,2.5,0.10989010989010992,2.0,0.0,1.5789473684210527,0.0,0.5263157894736841,0.036496350364963515,,2.272727272727273,1.2903225806451613
