col_1,행정동,유흥업소 수,초등학교 수,"중,고등학교 수",요리 주점,입시·교과학원,등록인구_scaled,여성비율_scaled,외국인비율_scaled,고령자 비율_scaled,총점,치안기관,어린이용 CCTV 수,안전비상벨 수,기타 CCTV 수,시설물 CCTV 수,쓰레기단속 CCTV 수,가로등 수_scaled,보안등 수_scaled,생활방범 CCTV 수_scaled,총점,순위험도
북구,복현2동,0.10989011,4,8.571428571,0.701754386,0.766423358,0.546445384,5.61015093,0.981241174,2.919673707,1.815300544,0,4.736842105,0.277777778,0,0.606060606,1.612903226,0.844202899,1.201157742,1.094527363,1.231488526,0.583812018
북구,대현동,1.648351648,2,0,2.368421053,0.255474453,0.292124084,4.427704998,2.328352025,5.742139001,1.833340227,0,2.105263158,0,0,0.303030303,1.612903226,1.112318841,0.397973951,1.094527363,0.91026302,0.923077207
북구,검단동,0,0,2.857142857,0.350877193,0.072992701,0.087442989,4.72240928,1.962787153,7.337476275,1.272290598,0,0.877192982,0,0,2.727272727,1.290322581,0.550724638,1.092619392,4.776119403,2.128457276,-0.856166677
북구,무태조야동,0.10989011,8,2.857142857,2.192982456,1.569343066,0.629618839,4.205679239,0.317353127,2.960982461,2.026438594,2.5,9.649122807,0.555555556,0,1.515151515,0.967741935,6.018115942,5.810419682,3.109452736,4.094617092,-2.068178498
북구,관문동,0.43956044,10,2.857142857,1.140350877,1.058394161,0.629380624,5.48215418,0.193344425,2.733462828,2.286470486,2.5,4.736842105,0.555555556,0.11627907,1.060606061,1.290322581,5.025362319,4.674384949,2.014925373,2.92737789,-0.640907403
북구,태전1동,0.10989011,4,2.857142857,2.894736842,0.072992701,0.377569737,5.087995207,0.867407768,4.018139359,1.796906819,0,4.210526316,0.555555556,0,0.757575758,2.903225806,2.065217391,3.791606368,1.169154229,1.755366219,0.0415406
북구,태전2동,0.659340659,4,4.285714286,2.192982456,0.401459854,0.41383329,6.330345437,0.644247936,3.859848743,2.035200743,2.5,5.614035088,0.555555556,0,0.454545455,0.967741935,1.525362319,2.047756874,1.31840796,1.836856473,0.19834427
북구,구암동,1.318681319,6,10,3.684210526,0.766423358,0.598467732,6.25800788,0.115167067,2.179188755,2.604436546,2.5,7.368421053,1.944444444,0,3.787878788,0.64516129,2.68115942,4.522431259,1.592039801,2.753451682,-0.149015137
북구,관음동,0.32967033,4,1.428571429,2.01754386,0.182481752,0.263556687,4.689906899,0.29794762,4.886569407,1.67643696,0,3.859649123,1.388888889,0,4.848484848,0.967741935,1.112318841,2.778581766,1.343283582,1.63628325,0.04015371
북구,읍내동,0.21978022,6,2.857142857,1.666666667,0.328467153,0.450499975,5.69929395,0.143468565,3.779686282,1.950723688,2.5,9.122807018,0.277777778,0,0.606060606,0.64516129,1.655797101,3.835021708,2.039800995,2.621694464,-0.670970776
