col_1,행정동,세대수,등록인구,등록인구(남),등록인구(여),한국인,한국인(남),한국인(여),외국인,외국인(남),외국인(여),세대당인구,65세이상고령자,평균연령,인구밀도 (명/㎢),면적 (㎢),치안기관,유흥업소 수,초등학교 수,"중,고등학교 수",대학교 수,가로등 수,보안등 수,어린이용 CCTV 수,전체 CCTV수(어린이보호 제외),안전비상벨 수,상가 수,요리 주점,일반 유흥 주점,입시·교과학원,생활방범 CCTV 수,기타 CCTV 수,시설물 CCTV 수,쓰레기단속 CCTV 수,범죄발생수(유동인구기준),범죄발생수(면적기준),강력범죄,절도범죄,폭력범죄
북구,태전2동,10847,24244,11825,12419,24007,11740,12267,237,85,152,2.21,4085,44.5,14178,1.71,1,6,2,3,0,421,283,32,59,2,932,25,6,11,53,,3,3,193.1524877,63.22215129,153,1638,1684
북구,구암동,13459,34320,16764,17556,34216,16749,17467,104,15,89,2.54,4106,41.9,7782,4.41,1,12,3,7,0,740,625,42,91,7,991,42,12,21,64,,25,2,273.4282039,163.0466007,153,1638,1684
북구,관음동,7428,16043,8084,7959,15957,8061,7896,86,23,63,2.15,3182,47,5348,3,0,3,2,1,0,307,384,22,89,5,558,23,3,5,54,,32,3,127.8149381,110.9160549,153,1638,1684
북구,읍내동,11684,26245,12964,13281,26156,12942,13214,89,22,67,2.24,4361,44.6,4596,5.71,1,2,3,2,0,457,530,52,88,1,921,19,2,9,82,,4,2,209.0944992,211.1102245,153,1638,1684
북구,동천동,10585,27366,13272,14094,27294,13257,14037,72,15,57,2.58,2786,40.5,24434,1.12,1,34,3,0,0,714,550,22,54,3,1381,78,30,87,40,,11,3,218.0255312,41.4086605,153,1638,1684
북구,국우동,12848,30542,15082,15460,30430,15046,15384,112,36,76,2.37,3037,39.6,1777,17.19,1,0,4,5,0,1488,334,33,69,0,943,15,2,27,48,,17,4,243.3287939,635.5489946,153,1638,1684
수성구,소계,171480,413211,199433,213778,411553,198731,212822,1658,702,956,2.4,72078,43.8,5399,76.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,2851,2851,135,1138,1578
수성구,범어1동,6249,16285,7730,8555,16227,7707,8520,58,23,35,2.6,2378,41.3,15079,1.08,2,6,1,1,0,331,31,18,126,0,907,32,15,43,60,65,1,0,112.3603558,40.23363387,135,1138,1578
수성구,범어2동,6857,15139,7310,7829,15010,7245,7765,129,65,64,2.19,2381,42.8,13397,1.13,0,4,1,0,0,182,59,23,85,4,1053,4,4,77,73,12,0,0,104.4533882,42.0963021,135,1138,1578
수성구,범어3동,6386,17100,8203,8897,17016,8165,8851,84,38,46,2.66,1731,38.5,29483,0.58,0,14,2,0,0,203,0,9,52,0,1104,38,17,39,38,14,0,0,117.9835484,21.60695152,135,1138,1578
수성구,범어4동,6714,19882,9763,10119,19836,9743,10093,46,20,26,2.95,1975,37.9,18409,1.08,0,0,1,6,0,157,39,9,83,0,1107,12,2,274,55,28,0,0,137.1782987,40.23363387,135,1138,1578
수성구,만촌1동,8910,22238,10819,11419,22167,10793,11374,71,26,45,2.49,4347,44.8,7722,2.88,1,1,2,3,0,698,212,15,128,4,803,13,1,30,103,6,19,0,153.4338098,107.2896903,135,1138,1578
수성구,만촌2동,5042,10843,5374,5469,10754,5344,5410,89,30,59,2.13,2094,45.5,6693,1.62,1,1,2,0,0,298,48,19,105,0,596,5,2,37,84,8,9,4,74.81260905,60.3504508,135,1138,1578
수성구,만촌3동,6856,19327,10110,9217,19174,10021,9153,153,89,64,2.8,2306,40.3,10858,1.78,0,0,1,7,1,780,179,28,98,0,749,8,1,74,87,4,3,4,133.3490081,66.31098915,135,1138,1578
수성구,수성1가동,7093,17416,7940,9476,17372,7921,9451,44,19,25,2.45,3749,45.7,30028,0.58,0,3,1,2,0,81,10,10,47,0,643,11,3,27,43,3,1,0,120.1638291,21.60695152,135,1138,1578
수성구,수성2·3가동,4562,11421,5541,5880,11383,5524,5859,38,17,21,2.5,2022,43.2,17571,0.65,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,78.80059098,24.21468705,135,1138,1578
수성구,수성4가동,5748,13985,6505,7480,13945,6493,7452,40,12,28,2.43,3004,47,22198,0.63,0,1,0,2,0,176,51,8,34,0,635,30,4,12,32,2,0,0,96.49122361,23.46961976,135,1138,1578
수성구,황금1동,8175,23047,11014,12033,23011,10994,12017,36,20,16,2.81,3161,41,8568,2.69,1,0,1,0,0,258,228,10,30,0,357,2,0,36,28,2,0,0,159.0156046,100.211551,135,1138,1578
수성구,황금2동,6130,12156,5862,6294,12079,5833,6246,77,29,48,1.97,2273,44.1,10479,1.16,0,52,1,2,0,157,49,11,134,0,988,38,55,14,103,18,0,13,83.87181367,43.21390304,135,1138,1578
수성구,중동,6293,12646,6261,6385,12567,6231,6336,79,30,49,2,2316,44.5,13897,0.91,0,12,1,0,0,243,81,11,111,0,791,14,9,12,69,42,0,0,87.2526288,33.90056187,135,1138,1578
수성구,상동,7797,15896,7723,8173,15767,7670,8097,129,53,76,2.02,3690,47.5,11952,1.33,0,0,1,1,0,377,290,24,101,0,976,19,3,24,86,,9,6,109.6764026,49.54697504,135,1138,1578
수성구,파동,5371,12117,5790,6327,12089,5779,6310,28,11,17,2.25,3110,48.1,2082,5.82,1,0,1,1,0,278,322,11,80,0,329,9,0,12,71,9,0,0,83.60272839,216.8145825,135,1138,1578
수성구,두산동,7352,14825,7210,7615,14685,7149,7536,140,61,79,2,2183,43.4,7525,1.97,1,32,1,0,0,342,221,26,176,6,1513,114,53,10,76,25,61,14,102.2869067,73.38912845,135,1138,1578
수성구,지산1동,10478,21243,10127,11116,21139,10091,11048,104,36,68,2.02,4976,48.3,8047,2.64,0,7,3,2,0,884,169,39,111,6,1288,43,7,26,87,7,15,2,146.5686852,98.34888279,135,1138,1578
수성구,지산2동,7816,18006,8474,9532,17970,8461,9509,36,13,23,2.3,3961,47.1,9140,1.97,1,0,1,2,0,201,273,20,70,8,759,18,2,18,57,2,11,0,124.2346065,73.38912845,135,1138,1578
수성구,범물1동,5929,11009,4972,6037,10980,4959,6021,29,13,16,1.85,3820,54,2024,5.44,0,0,2,1,0,185,49,25,50,6,377,8,0,8,21,5,24,0,75.95794642,202.6583039,135,1138,1578
수성구,범물2동,6588,16705,8053,8652,16675,8044,8631,30,9,21,2.53,2999,44.5,7170,2.33,0,0,1,1,0,240,60,26,46,8,396,8,1,20,36,,10,0,115.2581974,86.80033974,135,1138,1578
수성구,고산1동,11696,31427,15213,16214,31356,15185,16171,71,28,43,2.68,4246,41.8,3575,8.79,0,3,3,4,0,432,0,40,115,4,1089,18,4,108,79,21,15,0,216.8344429,327.4570757,135,1138,1578
수성구,고산2동,10945,28089,13862,14227,28014,13829,14185,75,33,42,2.56,4421,42.8,1148,24.47,1,0,3,3,0,2760,776,31,257,14,1213,18,0,27,132,59,66,0,193.8035023,911.5898341,135,1138,1578
수성구,고산3동,12493,32409,15577,16832,32337,15550,16787,72,27,45,2.59,4935,43.5,6469,5.01,1,0,3,1,0,435,171,32,99,2,805,25,0,40,72,3,24,0,223.6098724,186.6393571,135,1138,1578
달서구,소계,235883,547387,269892,277495,536989,263961,273028,10398,5931,4467,2.28,89178,44,8776,62.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,4436,4436,228,2064,2144
달서구,성당동,10609,22784,11066,11718,22636,11005,11631,148,61,87,2.13,4987,46.7,11449,1.99,1,16,1,6,0,332,425,17,166,2,1041,35,18,15,161,5,0,0,184.6405267,141.5366362,228,2064,2144
